,country,year,gov_exp,date,trade,growth,inf,inv_share,_merge,code,income_cat,balanced
1785,North Macedonia,2001,37.36184941,2001-01-01,71.4782105684389,-3.06725662451662,5.19888525744048,15.7801667637375,both,MKD,LM,False
1788,Pakistan,2001,12.94852486,2001-01-01,23.5772088443194,3.65135017083765,3.14826144590618,13.1696778808878,both,PAK,L,True
1794,Poland,2001,44.70194242,2001-01-01,57.8785312712895,1.23374464400356,5.40833545566148,17.7306946024351,both,POL,UM,False
1797,Romania,2001,33.16432626,2001-01-01,51.9285910211481,5.21818451151151,34.4770123493527,18.2897403898412,both,ROU,LM,False
1798,Russian Federation,2001,31.4642669,2001-01-01,61.1108586644206,5.10005122572568,21.4770072117159,16.7882547825578,both,RUS,LM,False
1803,Saudi Arabia,2001,36.939241,2001-01-01,63.5605836794513,0.344583362943069,-1.12094477457175,15.7254864478158,both,SAU,UM,False
1804,Senegal,2001,15.71234507,2001-01-01,49.7205780648314,4.31085146618369,2.9745008391957,14.7855865002897,both,SEN,L,False
1805,Seychelles,2001,46.84238284,2001-01-01,179.884914877473,-2.27116288552982,5.96962204168156,34.9417903540953,both,SYC,UM,True
1809,South Africa,2001,22.62016839,2001-01-01,49.170945185829,2.70000000019104,5.70190018305717,11.8255514307268,both,ZAF,LM,True
1811,Sri Lanka,2001,22.40623447,2001-01-01,80.8986015327576,-1.54540813366026,14.15845579912,18.9923558296942,both,LKA,LM,False
1817,Tanzania,2001,12.37690892,2001-01-01,28.0301432282533,6.07080828734129,5.14746800222618,14.8262133709574,both,TZA,L,False
1818,Thailand,2001,20.82376471,2001-01-01,120.267966273533,3.44424900968372,1.62690887314091,14.9613629632623,both,THA,LM,True
1821,Tunisia,2001,23.98787192,2001-01-01,89.5522011944661,3.79627166202512,1.98333333333337,21.0852254113852,both,TUN,LM,False
1823,Uganda,2001,16.20620732,2001-01-01,35.3299767819725,5.18366112490236,1.86512524084773,13.0927803330014,both,UGA,L,False
1825,United Arab Emirates,2001,25.22845813,2001-01-01,89.8645799289427,1.39908503706675,,12.1225573519024,both,ARE,H,False
1828,Uruguay,2001,27.81696012,2001-01-01,36.3095126435057,-3.84412995940374,4.3593406521727,10.197894190295,both,URY,UM,False
1829,Uzbekistan,2001,30.61701389,2001-01-01,56.776277587152,4.1638382499889,,21.8782612226666,both,UZB,L,False
1831,"Venezuela, RB",2001,31.89871876,2001-01-01,42.141268017362,3.3942361077907,,17.0487328006662,both,VEN,UM,False
1833,"Yemen, Rep.",2001,30.48918207,2001-01-01,70.8923979770182,3.80364587188127,11.9115912929855,14.5822666612919,both,YEM,L,False
1842,Australia,2002,34.46218109,2002-01-01,41.4490922022193,3.97958568067362,2.98157453936348,21.3252499186988,both,AUS,H,True
1844,Azerbaijan,2002,23.13878407,2002-01-01,92.8181443298969,9.43891626906561,2.7711647199827,29.4412816494845,both,AZE,L,False
1846,Bahrain,2002,31.87954401,2002-01-01,131.133634216392,3.34855066794107,-0.495540138751154,15.0387008061744,both,BHR,H,False
1847,Bangladesh,2002,10.35568968,2002-01-01,28.9673807211649,3.83312393993225,3.33256493271913,18.6118192543983,both,BGD,L,True
1851,Benin,2002,15.28399511,2002-01-01,43.7684225364311,4.64303087074482,2.48916235491542,13.014422386586,both,BEN,L,True
1852,Bhutan,2002,42.23078789,2002-01-01,70.2833172005966,10.443779542161,2.45535714285716,49.3631796337468,both,BTN,L,False
1863,Chad,2002,17.87908683,2002-01-01,126.350807849912,8.49120981898056,5.19181895195446,49.5937439746648,both,TCD,L,False
1865,China,2002,18.46432283,2002-01-01,42.747181555741,9.13363078966614,-0.731970902350244,31.7883716017708,both,CHN,LM,False
1868,"Congo, Dem. Rep.",2002,4.17344595,2002-01-01,29.3168456429821,2.94776518359767,31.5225826025495,5.3999460769782,both,COD,L,False
1869,"Congo, Rep.",2002,32.13511536,2002-01-01,135.45607107226,4.58187006108889,4.37875971780873,13.8343864316595,both,COG,L,False
1871,Croatia,2002,50.06536871,2002-01-01,81.1609977960211,5.80332851682508,1.67178437393383,17.4027321151583,both,HRV,UM,False
1879,Ecuador,2002,21.58114324,2002-01-01,54.7966439366136,4.92809549611376,12.4835980082095,11.668472732715,both,ECU,LM,False
1880,El Salvador,2002,22.50927812,2002-01-01,65.9190907767708,1.57291844759789,1.86552503610077,13.6059499990299,both,SLV,LM,True
1885,Fiji,2002,28.11955108,2002-01-01,126.052579068143,3.19999911373267,0.762032085561193,14.6762446373341,both,FJI,LM,False
1889,Georgia,2002,15.9848075,2002-01-01,71.6291255364807,5.47402488700408,5.58783730000794,22.8947639484979,both,GEO,L,False
1891,Ghana,2002,11.42211113,2002-01-01,97.4892431746551,4.49999955900331,9.36093239560313,9.19285743522574,both,GHA,L,False
1894,Guatemala,2002,13.14761837,2002-01-01,67.1048115244645,3.83928708556792,8.13263054281053,15.1590662697079,both,GTM,LM,False
1895,Guinea,2002,14.56252446,2002-01-01,38.0284032674396,5.16460946696631,,6.80773741615763,both,GIN,L,False
1897,Guyana,2002,23.11040303,2002-01-01,196.72507835983,1.13262696199476,5.3410152137741,8.28274061316228,both,GUY,LM,False
1898,Haiti,2002,6.641306817,2002-01-01,24.9396784759828,1.05182013450109,7.03287406224601,8.36062314925045,both,HTI,L,False
1899,Honduras,2002,26.8087552,2002-01-01,117.997454450299,3.75433786119939,7.69050972034271,18.1357254894067,both,HND,LM,False
1900,"Hong Kong SAR, China",2002,18.50658691,2002-01-01,255.996457369342,1.65670091974147,-2.98313878080415,18.2376106204922,both,HKG,H,True
1914,"Korea, Rep.",2002,16.46237314,2002-01-01,58.3530394029217,7.72514267547173,2.76226210296599,25.3208414034026,both,KOR,H,True
1918,Lebanon,2002,36.7811197,2002-01-01,51.0425325574951,3.42314982843781,,16.2787475755057,both,LBN,UM,True
1921,Madagascar,2002,12.44252137,2002-01-01,50.1816919379298,-12.4079711055149,16.4985255315846,7.01579947738596,both,MDG,L,True
1922,Malaysia,2002,27.14407224,2002-01-01,199.356232695655,5.39098830692797,1.80787246281536,8.07357787966483,both,MYS,UM,True
1925,Mexico,2002,19.76748163,2002-01-01,45.2098292538764,-0.236588001922641,5.03072733151295,15.8967847919178,both,MEX,UM,True
1927,Moldova,2002,30.73946644,2002-01-01,129.839525501535,7.79999965773833,5.30124390261597,14.589473829814,both,MDA,L,False
